Name,Address,Location
"
ローソン 上野一丁目店
",東京都台東区上野1-20-1,"{'lat': 35.70738410000001, 'lng': 139.7724305}"
"
ローソン HS台東病院店
",東京都台東区千束3-20-5,"{'lat': 35.7227144, 'lng': 139.7926651}"
"
ローソン H東浅草一丁目店
",東京都台東区東浅草1-4-6,"{'lat': 35.7214241, 'lng': 139.7999916}"
"
ローソン 鶯谷駅南店
",東京都台東区根岸1-3-20,"{'lat': 35.7209132, 'lng': 139.77981}"
"
ローソン 御徒町駅北口店
",東京都台東区上野5-26-12,"{'lat': 35.7073679, 'lng': 139.775193}"
"
ローソン 台東浅草新仲見世通店
",東京都台東区浅草1-23-9,"{'lat': 35.7122099, 'lng': 139.7937754}"
"
ローソン 台東北上野一丁目店
",東京都台東区北上野1-5-3,"{'lat': 35.7161844, 'lng': 139.7813073}"
"
ローソンストア100 LS台東寿三丁目店
",東京都台東区寿3-9-5,"{'lat': 35.7071023, 'lng': 139.7911892}"
"
ローソンストア100 LS浅草通り店
",東京都台東区松が谷1-2-2,"{'lat': 35.7107139, 'lng': 139.7873073}"
"
ローソンストア100 LS西浅草店
",東京都台東区西浅草3-21-1,"{'lat': 35.7155587, 'lng': 139.7905752}"
"
ローソンストア100 LS浅草寿店
",東京都台東区寿4-13-13,"{'lat': 35.70872730000001, 'lng': 139.7939578}"
"
ローソンストア100 LS台東根岸店
",東京都台東区根岸2-16-10,"{'lat': 35.7245458, 'lng': 139.7786206}"
"
ローソンストア100 LS北上野二丁目店
",東京都台東区北上野2-24-9,"{'lat': 35.7186148, 'lng': 139.7838397}"
"
ローソンストア100 LS台東浅草五丁目店
",東京都台東区浅草5-72-9,"{'lat': 35.7225882, 'lng': 139.7987347}"
"
ローソンストア100 LS台東根岸三丁目店
",東京都台東区根岸3-1-18,"{'lat': 35.7215551, 'lng': 139.7818134}"
"
ローソンストア100 LS台東上野三丁目店
",東京都台東区上野3-17-4,"{'lat': 35.7058069, 'lng': 139.7723992}"
"
ローソンストア100 台東清川二丁目店
",東京都台東区清川2-3-5,"{'lat': 35.7263669, 'lng': 139.8020221}"
"
ローソンストア100 台東清川一丁目店
",東京都台東区清川1-6-3,"{'lat': 35.7230994, 'lng': 139.801712}"
"
ローソン 台東西浅草二丁目店
",東京都台東区西浅草2-13-10,"{'lat': 35.7124185, 'lng': 139.7918819}"
"
ローソン 上野中央通店
",東京都台東区上野1-1-10,"{'lat': 35.7054123, 'lng': 139.7715615}"
"
ローソン 台東浅草一丁目店
",東京都台東区浅草1-42-4,"{'lat': 35.7131973, 'lng': 139.7934882}"
"
ローソン・スリーエフ 台東谷中三丁目店
",東京都台東区谷中3-3-4,"{'lat': 35.7256388, 'lng': 139.7644618}"
"
ファミリーマート 加藤根岸店
",東京都台東区根岸3-10-2,"{'lat': 35.7241173, 'lng': 139.7789249}"
"
ファミリーマート 吉のや日本堤店
",東京都台東区日本堤1-5-3,"{'lat': 35.7250703, 'lng': 139.7983098}"
"
ファミリーマート 入谷二丁目店
",東京都台東区入谷2-1-8,"{'lat': 35.7184262, 'lng': 139.7890218}"
"
ファミリーマート 根岸一丁目店
",東京都台東区根岸1-5-14,"{'lat': 35.7224075, 'lng': 139.7792463}"
"
ファミリーマート 上野駅前店
",東京都台東区上野7-3-2,"{'lat': 35.7124223, 'lng': 139.7777024}"
"
ファミリーマート 千束一丁目店
",東京都台東区千束1-16-13,"{'lat': 35.7189427, 'lng': 139.7922261}"
"
ファミリーマート 根岸二丁目店
",東京都台東区根岸2-21-13,"{'lat': 35.7263196, 'lng': 139.7743532}"
"
ファミリーマート 上野公園店
",東京都台東区上野公園1番57号,"{'lat': 35.71169, 'lng': 139.7743192}"
"
ファミリーマート 台東入谷駅前店
",東京都台東区入谷1丁目6番6号上野ロイヤルハイツ1階,"{'lat': 35.7201163, 'lng': 139.784579}"
"
ファミリーマート 千束三丁目店
",東京都台東区千束3丁目16番1号グランドメゾン入谷1階,"{'lat': 35.7214674, 'lng': 139.7915301}"
"
ファミリーマート 台東三筋店
",東京都台東区三筋1丁目17番10号本多ビル1階,"{'lat': 35.704479, 'lng': 139.7877548}"
"
ファミリーマート 西浅草三丁目店
",東京都台東区西浅草3丁目29-22,"{'lat': 35.7174518, 'lng': 139.7909508}"
"
ファミリーマート 東上野五丁目店
",東京都台東区東上野5丁目1番8号新下谷ビル1階,"{'lat': 35.7116662, 'lng': 139.7818826}"
"
ファミリーマート 上野センターモール店
",東京都台東区上野4丁目7-2,"{'lat': 35.7092529, 'lng': 139.7744554}"
"
ファミリーマート 台東駒形一丁目店
",東京都台東区駒形1丁目6番3号,"{'lat': 35.70780209999999, 'lng': 139.7941461}"
"
ファミリーマート 台東四丁目店
",東京都台東区台東4丁目30番,"{'lat': 35.7072939, 'lng': 139.7779082}"
"
ファミリーマート 新御徒町駅前店
",東京都台東区東上野1-2-13カーニープレイス新御徒町,"{'lat': 35.7073276, 'lng': 139.7813034}"
"
ファミリーマート 台東一丁目店
",東京都台東区台東1-1-5,"{'lat': 35.7004678, 'lng': 139.7803847}"
"
ファミリーマート 花やしき遊園地前店
",東京都台東区浅草2-15-3,"{'lat': 35.7156207, 'lng': 139.7938596}"
"
ファミリーマート 駒形一丁目店
",東京都台東区駒形1-12-14日本生命浅草ビル1階,"{'lat': 35.7085387, 'lng': 139.7956053}"
"
ファミリーマート 上野駅入谷口店
",東京都台東区上野7-7-7早稲田ビルヂング,"{'lat': 35.7139213, 'lng': 139.7784275}"
"
ファミリーマート 台東吉原店
",東京都台東区千束4丁目24-11,"{'lat': 35.7233809, 'lng': 139.7948961}"
"
ファミリーマート 台東雷門二丁目店
",東京都台東区雷門2丁目18-17,"{'lat': 35.7100588, 'lng': 139.7966297}"
"
ファミリーマート 変なホテル東京浅草田原町店
",東京都台東区寿3丁目19番8号,"{'lat': 35.7081367, 'lng': 139.7913754}"
"
ファミリーマート 台東千束店
",東京都台東区千束4丁目26番5号,"{'lat': 35.7217319, 'lng': 139.7954279}"
"
ファミリーマート 上野広小路店
",東京都台東区上野2丁目6番12号,"{'lat': 35.7087031, 'lng': 139.7729243}"
"
ファミリーマート 谷中店
",東京都台東区谷中3-24-4 K-ハウス1,"{'lat': 35.7306297, 'lng': 139.7632712}"
"
ファミリーマート 蔵前店
",東京都台東区蔵前2-17-1,"{'lat': 35.7046513, 'lng': 139.7928804}"
"
ファミリーマート 東上野店
",東京都台東区東上野1丁目11-4,"{'lat': 35.707678, 'lng': 139.7782568}"
"
ファミリーマート 都営浅草橋駅前店
",東京都台東区柳橋1丁目23番4号,"{'lat': 35.69800439999999, 'lng': 139.7870214}"
"
ファミリーマート 台東松が谷店
",東京都台東区松が谷2丁目7-7,"{'lat': 35.7136289, 'lng': 139.7854378}"
"
ファミリーマート 東上野四丁目店
",東京都台東区東上野4丁目3-4,"{'lat': 35.7123473, 'lng': 139.7786455}"
"
ファミリーマート 鴬谷店
",東京都台東区根岸1丁目1番16号,"{'lat': 35.7209313, 'lng': 139.7804005}"
"
ファミリーマート 上野仲町通り店
",東京都台東区上野2-12-1,"{'lat': 35.7096309, 'lng': 139.773105}"
"
ファミリーマート 三ノ輪店
",東京都台東区三ノ輪1-28-15,"{'lat': 35.7296573, 'lng': 139.7919344}"
"
ファミリーマート 入谷店
",東京都台東区下谷2丁目1-10,"{'lat': 35.7202876, 'lng': 139.7838744}"
"
ファミリーマート 台東柳橋一丁目店
",東京都台東区柳橋1丁目3番10号,"{'lat': 35.6961611, 'lng': 139.7859987}"
"
ファミリーマート 仲御徒町店
",東京都台東区上野5-24-11,"{'lat': 35.7073678, 'lng': 139.7758731}"
